metodo,semente,melhor_fitness,tempo_s,n_avaliacoes
AG,42,1.2919688743971502,5.974747500004014,220
AG,43,1.3122288565864837,6.347635400015861,220
AG,44,1.231929999412178,6.369887600012589,220
AG,45,1.3077025181961568,5.547797200008063,220
AG,46,1.319341087379538,5.607857900002273,220
PSO,42,1.3348847008091296,6.80355470001814,220
PSO,43,1.2965544400494629,6.430844000016805,220
PSO,44,1.3089076015583911,5.1271740999945905,220
PSO,45,1.301177270555651,4.689340000011725,220
PSO,46,1.3212794548385551,6.4727011999930255,220
Busca Aleatoria,42,1.3486955982611655,3.062057100003585,220
Busca Aleatoria,43,1.331259586739745,3.1444086999981664,220
Busca Aleatoria,44,1.286567426850632,3.068050799978664,220
Busca Aleatoria,45,1.3057378908995472,3.194925299991155,220
Busca Aleatoria,46,1.3319717371477084,2.74223180001718,220
