parametro_variado,nivel,seed,pop_size,gens,pc,pm,sigma,best_fitness,rmse_medio,geracoes_ate_estabilizar,tempo_s,n_avaliacoes_objetivo,status
population_size,10,42,10,10,0.7,0.3,0.2,1.3258407855927168,1.3258407855927168,2,2.4301106929779053,110,OK
population_size,10,43,10,10,0.7,0.3,0.2,1.315645345004041,1.315645345004041,7,2.2668049335479736,110,OK
population_size,10,44,10,10,0.7,0.3,0.2,1.3836570860272313,1.3836570860272313,10,2.094862937927246,110,OK
population_size,10,45,10,10,0.7,0.3,0.2,1.32790099897257,1.32790099897257,9,1.9086039066314697,110,OK
population_size,10,46,10,10,0.7,0.3,0.2,1.3174839195290577,1.3174839195290577,3,2.1554677486419678,110,OK
population_size,20,42,20,10,0.7,0.3,0.2,1.2919688743971502,1.2919688743971502,4,3.8903024196624756,220,OK
population_size,20,43,20,10,0.7,0.3,0.2,1.3122288565864837,1.3122288565864837,7,4.067728042602539,220,OK
population_size,20,44,20,10,0.7,0.3,0.2,1.231929999412178,1.231929999412178,5,4.545945882797241,220,OK
population_size,20,45,20,10,0.7,0.3,0.2,1.3077025181961568,1.3077025181961568,3,4.171158790588379,220,OK
population_size,20,46,20,10,0.7,0.3,0.2,1.319341087379538,1.319341087379538,1,4.205125093460083,220,OK
population_size,40,42,40,10,0.7,0.3,0.2,1.3171420354639392,1.3171420354639392,5,8.981526851654053,440,OK
population_size,40,43,40,10,0.7,0.3,0.2,1.3103500533582306,1.3103500533582306,1,9.06286334991455,440,OK
population_size,40,44,40,10,0.7,0.3,0.2,1.3050513080056847,1.3050513080056847,2,8.984786987304688,440,OK
population_size,40,45,40,10,0.7,0.3,0.2,1.3153830237348239,1.3153830237348239,2,8.660654067993164,440,OK
population_size,40,46,40,10,0.7,0.3,0.2,1.2632814043776663,1.2632814043776663,1,9.021010875701904,440,OK
n_generations,10,42,20,10,0.7,0.3,0.2,1.2919688743971502,1.2919688743971502,4,3.8903024196624756,220,OK
n_generations,10,43,20,10,0.7,0.3,0.2,1.3122288565864837,1.3122288565864837,7,4.067728042602539,220,OK
n_generations,10,44,20,10,0.7,0.3,0.2,1.231929999412178,1.231929999412178,5,4.545945882797241,220,OK
n_generations,10,45,20,10,0.7,0.3,0.2,1.3077025181961568,1.3077025181961568,3,4.171158790588379,220,OK
n_generations,10,46,20,10,0.7,0.3,0.2,1.319341087379538,1.319341087379538,1,4.205125093460083,220,OK
n_generations,20,42,20,20,0.7,0.3,0.2,1.2919688743971502,1.2919688743971502,4,8.985867500305176,420,OK
n_generations,20,43,20,20,0.7,0.3,0.2,1.300696075375203,1.300696075375203,7,9.391996622085571,420,OK
n_generations,20,44,20,20,0.7,0.3,0.2,1.231929999412178,1.231929999412178,5,9.287839889526367,420,OK
n_generations,20,45,20,20,0.7,0.3,0.2,1.2692778570779193,1.2692778570779193,19,8.352097749710083,420,OK
n_generations,20,46,20,20,0.7,0.3,0.2,1.302490532969025,1.302490532969025,13,14.84845232963562,420,OK
n_generations,40,42,20,40,0.7,0.3,0.2,1.2824788297213476,1.2824788297213476,4,19.951232433319092,820,OK
n_generations,40,43,20,40,0.7,0.3,0.2,1.278597587535461,1.278597587535461,26,18.988211393356323,820,OK
n_generations,40,44,20,40,0.7,0.3,0.2,1.2304306132634455,1.2304306132634455,5,18.459096908569336,820,OK
n_generations,40,45,20,40,0.7,0.3,0.2,1.2692778570779193,1.2692778570779193,19,25.753386735916138,820,OK
n_generations,40,46,20,40,0.7,0.3,0.2,1.2882141861101681,1.2882141861101681,21,49.610288858413696,820,OK
mutation_rate,0.1,42,20,10,0.7,0.1,0.2,1.3417502874428493,1.3417502874428493,3,11.609196186065674,220,OK
mutation_rate,0.1,43,20,10,0.7,0.1,0.2,1.2980446536958485,1.2980446536958485,7,13.140663623809814,220,OK
mutation_rate,0.1,44,20,10,0.7,0.1,0.2,1.3466979805429358,1.3466979805429358,7,11.647662878036499,220,OK
mutation_rate,0.1,45,20,10,0.7,0.1,0.2,1.3020725047185544,1.3020725047185544,7,9.738049030303955,220,OK
mutation_rate,0.1,46,20,10,0.7,0.1,0.2,1.319877530975099,1.319877530975099,7,11.268273830413818,220,OK
mutation_rate,0.3,42,20,10,0.7,0.3,0.2,1.2919688743971502,1.2919688743971502,4,3.8903024196624756,220,OK
mutation_rate,0.3,43,20,10,0.7,0.3,0.2,1.3122288565864837,1.3122288565864837,7,4.067728042602539,220,OK
mutation_rate,0.3,44,20,10,0.7,0.3,0.2,1.231929999412178,1.231929999412178,5,4.545945882797241,220,OK
mutation_rate,0.3,45,20,10,0.7,0.3,0.2,1.3077025181961568,1.3077025181961568,3,4.171158790588379,220,OK
mutation_rate,0.3,46,20,10,0.7,0.3,0.2,1.319341087379538,1.319341087379538,1,4.205125093460083,220,OK
mutation_rate,0.5,42,20,10,0.7,0.5,0.2,1.3240386446594894,1.3240386446594894,6,12.843871593475342,220,OK
mutation_rate,0.5,43,20,10,0.7,0.5,0.2,1.32230617191526,1.32230617191526,7,11.202280282974243,220,OK
mutation_rate,0.5,44,20,10,0.7,0.5,0.2,1.3383983035414282,1.3383983035414282,3,11.741694211959839,220,OK
mutation_rate,0.5,45,20,10,0.7,0.5,0.2,1.3177203290723292,1.3177203290723292,6,10.549545764923096,220,OK
mutation_rate,0.5,46,20,10,0.7,0.5,0.2,1.3045761578435913,1.3045761578435913,3,12.070390939712524,220,OK
crossover_rate,0.5,42,20,10,0.5,0.3,0.2,1.309311834715274,1.309311834715274,4,8.752920866012573,220,OK
crossover_rate,0.5,43,20,10,0.5,0.3,0.2,1.2661553215576278,1.2661553215576278,8,4.223298788070679,220,OK
crossover_rate,0.5,44,20,10,0.5,0.3,0.2,1.3038765460963437,1.3038765460963437,10,4.931541442871094,220,OK
crossover_rate,0.5,45,20,10,0.5,0.3,0.2,1.3067392037196832,1.3067392037196832,4,4.364288806915283,220,OK
